algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.080416,9585,8
QuickSort,random,1000,0.106959,17183,7
QuickSelect,random,1000,0.03175,6497,0
MergeSort,sorted,1000,0.042125,4236,8
QuickSort,sorted,1000,0.08225,17731,7
QuickSelect,sorted,1000,0.016,4543,0
MergeSort,duplicates,1000,0.056542,9036,8
QuickSort,duplicates,1000,0.027542,5084,3
QuickSelect,duplicates,1000,0.109458,4629,0
MergeSort,random,10000,0.509292,127534,11
QuickSort,random,10000,0.669959,237786,9
QuickSelect,random,10000,0.094,53171,0
MergeSort,sorted,10000,0.400584,59248,11
QuickSort,sorted,10000,0.287041,239173,9
QuickSelect,sorted,10000,0.052583,45648,0
MergeSort,duplicates,10000,0.202209,121712,11
QuickSort,duplicates,10000,0.109083,57735,2
QuickSelect,duplicates,10000,0.089375,38929,0
MergeSort,random,100000,5.789583,1639269,14
QuickSort,random,100000,6.669292,3057865,11
QuickSelect,random,100000,0.976958,473003,0
MergeSort,sorted,100000,1.246334,744016,14
QuickSort,sorted,100000,3.316208,3190281,11
QuickSelect,sorted,100000,0.703709,638974,0
MergeSort,duplicates,100000,2.796083,1563025,14
QuickSort,duplicates,100000,1.108875,519432,2
QuickSelect,duplicates,100000,0.816583,339181,0
MergeSort,random,1000000,67.698,19886430,18
QuickSort,random,1000000,70.471583,37318611,13
QuickSelect,random,1000000,10.555083,5136588,0
MergeSort,sorted,1000000,14.605958,9071040,18
QuickSort,sorted,1000000,33.883792,38065558,14
QuickSelect,sorted,1000000,4.943167,4939989,0
MergeSort,duplicates,1000000,29.807833,18922524,18
QuickSort,duplicates,1000000,9.237708,6302806,2
QuickSelect,duplicates,1000000,8.067833,3102374,0
